,name,artist
874,ride,somo
875,love on the brain,rihanna
876,don't,bryson tiller
877,call out my name,the weeknd
878,birthday sex,jeremih
879,love nwantiti (ah ah ah),ckay
880,sweat,zayn
881,needed me,rihanna
882,"or nah (feat. the weeknd, wiz khalifa & dj mustard) - remix",ty dolla $ign
883,you right,doja cat
884,bad intentions,niykee heaton
885,nights like this (feat. ty dolla $ign),kehlani
886,childs play (feat. chance the rapper),sza
887,sativa,jhené aiko
888,late at night,roddy ricch
889,slow dancing in the dark,joji
890,floating (feat. khalid),alina baraz
891,playing games (with bryson tiller) - extended version,summer walker
892,excitement (feat. partynextdoor),trippie redd
893,toosie slide,drake
894,inhale,bryson tiller
895,after,chel
896,the weekend,sza
897,streets,doja cat
898,excitement,trippie redd
899,expectations,lauren jauregui
900,better,khalid
901,outta time (feat. drake),bryson tiller
902,planez,jeremih
903,get you good,roy woods
904,beauty hurts,jack be
905,go fuck yourself,two feet
906,roses,gashi
907,waves (feat. 6lack),normani
908,let me love you,mario
909,lost in the fire,gesaffelstein
910,miss me?,dvsn
911,girls need love (with drake) - remix,summer walker
912,high,alina baraz
913,slow dancing in the rain at the end of the world,jack be
914,with me,dvsn
915,drama (feat. drake),roy woods
916,body say,demi lovato
917,paradise (feat. yung bleu),h.e.r.
918,all we do,trey songz
919,sex with me,rihanna
920,all the time,jeremih
921,trip,ella mai
922,the man you needed,jack be
923,love lies (with normani),khalid
924,love is a bitch,two feet
925,the hills,the weeknd
926,losin control,russ
927,unravel me,sabrina claudio
928,i feel like i'm drowning,two feet
929,get you (feat. kali uchis),daniel caesar
930,cold war,cautious clay
931,old friend,jack be
932,you,jacquees
933,could've been (feat. bryson tiller),h.e.r.
934,think about me,dvsn
935,get you the moon (feat. snøw),kina
936,yosemite,travis scott
937,come and see me (feat. drake),partynextdoor
938,all the stars (with sza),kendrick lamar
939,electric (feat. khalid),alina baraz
940,the great alone,jack be
941,malibu nights,lany
942,come through (feat. chris brown),h.e.r.
943,earned it (fifty shades of grey),the weeknd
944,girl (feat. kaytranada),the internet
945,stay flo,solange
946,earfquake,"tyler, the creator"
947,work,rihanna
948,i believed it (feat. mac miller),dvsn
949,neither do i,stwo
950,differences,ginuwine
951,fake love,bts
952,make up sex,somo
953,redbone,childish gambino
954,talk,khalid
955,fantasy,alina baraz
956,fuck love (feat. trippie redd),xxxtentacion
957,racks (feat. ybn cordae),h.e.r.
958,without me (with juice wrld),halsey
959,belong to you (feat. 6lack),sabrina claudio
960,when i'm small,phantogram
